n_qubits,family,label,initial,depth,lambda_fim,optimise,ansatz,seed,optimizer,maxiter,num_parameters,n_evals,optimizer_success,best_loss,fidelity,target_parity_survival,candidate_parity_survival,parity_error,target_exact_state_retention,candidate_exact_state_retention,retention_error,target_magnetisation_expectation,candidate_magnetisation_expectation,promoted_accuracy_gate
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,topology_informed,23,COBYLA,60,16,60,False,0.222669669936984,0.777330330063016,1.000000000000004,0.9087709070526554,0.0912290929473486,0.5283783902808556,0.5470321738770582,0.01865378359620251,1.022397966571193e-33,-0.020315188390867205,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,topology_informed,37,COBYLA,60,16,60,False,0.3033577053899936,0.6966422946100064,1.000000000000004,0.9465852057041205,0.05341479429588347,0.5283783902808556,0.4249843702384248,0.10339402004243087,1.022397966571193e-33,-0.09789400584321017,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,topology_informed,41,COBYLA,60,16,60,False,0.5238414850086383,0.47615851499136175,1.000000000000004,0.6539962429933791,0.3460037570066249,0.5283783902808556,0.42073931437942286,0.10763907590143279,1.022397966571193e-33,-0.09971317522625087,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,topology_informed,53,COBYLA,60,16,60,False,0.13079555640621388,0.8692044435937861,1.000000000000004,0.9647938730068139,0.035206126993190145,0.5283783902808556,0.5702562291543373,0.04187783887348162,1.022397966571193e-33,-0.07171755336232696,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,efficient_su2,11,COBYLA,60,24,60,False,0.22815389110827666,0.7718461088917233,1.000000000000004,0.8661892051081921,0.1338107948918119,0.5283783902808556,0.4485061329824819,0.07987225729837377,1.022397966571193e-33,0.14449443983165464,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,efficient_su2,23,COBYLA,60,24,60,False,0.17255306014242122,0.8274469398575788,1.000000000000004,0.8896686456890497,0.11033135431095431,0.5283783902808556,0.46687959899285336,0.061498791288002286,1.022397966571193e-33,0.00984696132695895,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,efficient_su2,37,COBYLA,60,24,60,False,0.4055834174260081,0.5944165825739919,1.000000000000004,0.7898618269138236,0.21013817308618044,0.5283783902808556,0.29133248108363147,0.23704590919722418,1.022397966571193e-33,-0.3125189174642886,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,efficient_su2,41,COBYLA,60,24,60,False,0.3453140316329223,0.6546859683670777,1.000000000000004,0.8193896844351523,0.18061031556485174,0.5283783902808556,0.3257936683762527,0.20258472190460297,1.022397966571193e-33,-0.16522446448175537,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,efficient_su2,53,COBYLA,60,24,60,False,0.3548689884291414,0.6451310115708586,1.000000000000004,0.8096337940772251,0.19036620592277886,0.5283783902808556,0.4659172013795446,0.06246118890131103,1.022397966571193e-33,-0.2560671771945928,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,two_local,11,COBYLA,60,24,60,False,0.25225160336591057,0.7477483966340894,1.000000000000004,0.9035296887725307,0.0964703112274733,0.5283783902808556,0.7304996635208144,0.20212127323995877,1.022397966571193e-33,-0.05339781709629762,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,two_local,23,COBYLA,60,24,60,False,0.29214230791873597,0.707857692081264,1.000000000000004,0.8518630429812039,0.14813695701880014,0.5283783902808556,0.3915834101206131,0.13679498016024255,1.022397966571193e-33,-0.13364870577355595,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,two_local,37,COBYLA,60,24,60,False,0.21446843050736608,0.7855315694926339,1.000000000000004,0.8747478942324813,0.12525210576752266,0.5283783902808556,0.5487408061405282,0.020362415859672578,1.022397966571193e-33,0.16069468443415108,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,two_local,41,COBYLA,60,24,60,False,0.18841531410818213,0.8115846858918179,1.000000000000004,0.8929266217174987,0.1070733782825053,0.5283783902808556,0.46654906759146325,0.061829322689392396,1.022397966571193e-33,0.11714855069814226,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,two_local,53,COBYLA,60,24,60,False,0.3552938199272826,0.6447061800727174,1.000000000000004,0.8340824339429024,0.16591756605710162,0.5283783902808556,0.6445621801375209,0.11618378985666522,1.022397966571193e-33,0.15508112862719842,False
