fim_energy_shift,ground_energy,lambda_fim,magnetisation,max_energy,mean_energy,median_energy,n_qubits,sector_dimension,spectral_gap,spectral_width
-0.0,-6.307226801913039,8.0,0,5.469788009268104,-2.6645352591003756e-16,0.06070366408982,6,20,1.6355334842387483,11.777014811181143
-5.333333333333333,-7.998984965289102,8.0,-2,2.7521813562922195,-1.735666666666667,-1.5308765814457426,6,15,2.460983480375459,10.751166321581321
-21.333333333333332,-18.368176783951668,8.0,-4,-11.558795064465295,-14.137999999999996,-13.34899732843976,6,6,2.3154783047398837,6.809381719486373
-48.0,-37.207,8.0,-6,-37.207,-37.207,-37.207,6,1,,0.0
-0.0,-12.473,0.0,8,-12.473,-12.473,-12.473,8,1,,0.0
-0.0,-12.755724606401253,0.0,6,-4.696384812656421,-9.354750000000003,-9.829164153824806,8,8,1.7018703676214777,8.059339793744833
-0.0,-12.201223139004156,0.0,4,0.7402283787085714,-6.2364999999999995,-6.879805175627236,8,28,1.8959761665976629,12.941451517712729
-0.0,-10.793644221543964,0.0,2,3.924181323490936,-3.1182500000000006,-3.0591199359267875,8,56,2.0371010550149826,14.7178255450349
-0.0,-8.517357607123323,0.0,0,6.561454020933043,-3.552713678800501e-16,-0.04071808435889129,8,70,1.8700858703035879,15.078811628056366
-0.0,-5.389600562598513,0.0,-2,8.92851810790872,3.11825,3.094981619789542,8,56,2.0683823405137027,14.318118670507234
-0.0,-1.3024830616297125,0.0,-4,10.583606003333097,6.236499999999999,6.600815755635599,8,28,2.3068748652411792,11.88608906496281
-0.0,4.451629594598935,0.0,-6,11.616599299826667,9.35475,10.107056685082815,8,8,2.489251514751908,7.164969705227732
-0.0,12.473,0.0,-8,12.473,12.473,12.473,8,1,,0.0
-2.0,-14.473,0.25,8,-14.473,-14.473,-14.473,8,1,,0.0
-1.125,-13.880724606401257,0.25,6,-5.821384812656421,-10.47975,-10.954164153824802,8,8,1.7018703676214884,8.059339793744837
-0.5,-12.70122313900416,0.25,4,0.24022837870857391,-6.7365,-7.379805175627231,8,28,1.8959761665976682,12.941451517712734
-0.125,-10.918644221543975,0.25,2,3.7991813234909486,-3.24325,-3.184119935926788,8,56,2.037101055014995,14.717825545034923
-0.0,-8.517357607123323,0.25,0,6.561454020933043,-3.552713678800501e-16,-0.04071808435889129,8,70,1.8700858703035879,15.078811628056366
-0.125,-5.514600562598503,0.25,-2,8.803518107908724,2.9932500000000006,2.969981619789545,8,56,2.0683823405136965,14.318118670507227
-0.5,-1.802483061629713,0.25,-4,10.0836060033331,5.736499999999999,6.100815755635599,8,28,2.306874865241187,11.886089064962814
-1.125,3.3266295945989333,0.25,-6,10.49159929982667,8.229750000000001,8.982056685082814,8,8,2.4892515147519205,7.164969705227736
-2.0,10.473,0.25,-8,10.473,10.473,10.473,8,1,,0.0
-4.0,-16.473,0.5,8,-16.473,-16.473,-16.473,8,1,,0.0
-2.25,-15.005724606401259,0.5,6,-6.946384812656423,-11.604750000000003,-12.0791641538248,8,8,1.7018703676214848,8.059339793744837
-1.0,-13.201223139004153,0.5,4,-0.2597716212914239,-7.236500000000004,-7.879805175627236,8,28,1.895976166597654,12.941451517712729
-0.25,-11.04364422154395,0.5,2,3.6741813234909437,-3.3682500000000006,-3.309119935926788,8,56,2.037101055014965,14.717825545034893
-0.0,-8.517357607123323,0.5,0,6.561454020933043,-3.552713678800501e-16,-0.04071808435889129,8,70,1.8700858703035879,15.078811628056366
-0.25,-5.639600562598519,0.5,-2,8.678518107908719,2.8682500000000006,2.844981619789544,8,56,2.0683823405137094,14.318118670507237
-1.0,-2.3024830616297107,0.5,-4,9.58360600333311,5.236499999999999,5.6008157556355975,8,28,2.3068748652411815,11.886089064962821
