energy_above_global_ground,fim_energy_shift,ideal_unitary_sector_leakage,lambda_fim,magnetisation,n_qubits,off_sector_frobenius_norm,sector_dimension,sector_ground_energy
20.424629594598933,-4.5,0.0,1.0,-6,8,0.0,8,-0.04837040540106738
24.945999999999998,-8.0,0.0,1.0,-8,8,0.0,1,4.473000000000001
0.0,-16.0,0.0,2.0,8,8,0.0,1,-28.473
6.71727539359874,-9.0,0.0,2.0,6,8,0.0,8,-21.75572460640126
12.271776860995843,-4.0,0.0,2.0,4,8,0.0,28,-16.201223139004156
16.67935577845606,-1.0,0.0,2.0,2,8,0.0,56,-11.79364422154394
19.955642392876676,-0.0,0.0,2.0,0,8,0.0,70,-8.517357607123323
22.083399437401482,-1.0,0.0,2.0,-2,8,0.0,56,-6.389600562598515
23.170516938370287,-4.0,0.0,2.0,-4,8,0.0,28,-5.3024830616297125
23.924629594598933,-9.0,0.0,2.0,-6,8,0.0,8,-4.548370405401066
24.945999999999998,-16.0,0.0,2.0,-8,8,0.0,1,-3.5269999999999992
0.0,-32.0,0.0,4.0,8,8,0.0,1,-44.473
13.717275393598747,-18.0,0.0,4.0,6,8,0.0,8,-30.75572460640125
24.271776860995846,-8.0,0.0,4.0,4,8,0.0,28,-20.201223139004153
31.67935577845606,-2.0,0.0,4.0,2,8,0.0,56,-12.79364422154394
35.955642392876676,-0.0,0.0,4.0,0,8,0.0,70,-8.517357607123323
37.083399437401475,-2.0,0.0,4.0,-2,8,0.0,56,-7.389600562598524
35.170516938370284,-8.0,0.0,4.0,-4,8,0.0,28,-9.302483061629712
30.924629594598933,-18.0,0.0,4.0,-6,8,0.0,8,-13.548370405401068
24.945999999999998,-32.0,0.0,4.0,-8,8,0.0,1,-19.527
0.0,-64.0,0.0,8.0,8,8,0.0,1,-76.473
27.717275393598733,-36.0,0.0,8.0,6,8,0.0,8,-48.755724606401266
48.271776860995814,-16.0,0.0,8.0,4,8,0.0,28,-28.201223139004185
61.67935577845603,-4.0,0.0,8.0,2,8,0.0,56,-14.793644221543968
67.95564239287668,-0.0,0.0,8.0,0,8,0.0,70,-8.517357607123323
67.0833994374015,-4.0,0.0,8.0,-2,8,0.0,56,-9.389600562598499
59.170516938370284,-16.0,0.0,8.0,-4,8,0.0,28,-17.30248306162971
44.92462959459894,-36.0,0.0,8.0,-6,8,0.0,8,-31.548370405401062
24.945999999999998,-64.0,0.0,8.0,-8,8,0.0,1,-51.527
